word,weight
absolute,2.0
absolutely,2.0
alarmingly,2.0
amazingly,2.0
astonishingly,2.0
awfully,2.0
bitterly,2.0
completely,2.0
deeply,2.0
definitely,2.0
disastrously,2.0
downright,2.0
entirely,2.0
exceedingly,2.0
excessively,2.0
extreme,2.0
extremely,2.0
fully,2.0
greatest,2.0
greatly,2.0
heinous,2.0
immensely,2.0
immoderate,2.0
incomparably,2.0
incredibly,2.0
ingrained,2.0
matchlessly,2.0
monstrous,2.0
most,2.0
outstanding,2.0
outstandingly,2.0
reach the limit,2.0
sharply,2.0
sheer,2.0
superb,2.0
terribly,2.0
totally,2.0
towering,2.0
unusually,2.0
utmost,2.0
utterly,2.0
most,2.0
awfully,1.7
badly,1.7
better,1.7
considerably,1.7
deep,1.7
disastrously,1.7
especially,1.7
extraordinarily,1.7
extremely,1.7
greatly,1.7
how,1.7
however,1.7
indeed,1.7
much,1.7
particularly,1.7
really,1.7
terribly,1.7
unusually,1.7
very,1.7
comparatively,1.4
further,1.4
increasingly,1.4
more,1.4
more and more,1.4
plus,1.4
relatively,1.4
so,1.4
such,1.4
above,1.4
excessive,1.4
excessively,1.4
exorbitance,1.4
extra,1.4
hyperphysical,1.4
inflated,1.4
inordinate,1.4
odd,1.4
outrageousness,1.4
over,1.4
overdone,1.4
overheated,1.4
plus,1.4
super,1.4
superheated,1.4
superheterodyne,1.4
surplus,1.4
to a fault,1.4
too,1.4
ultra,1.4
ultrastructural,1.4
undue,1.4
unduly,1.4
fairly,1.1
passably,1.1
pretty,1.1
quite,1.1
rather,1.1
slightly,1.1
some,1.1
somewhat,1.1
just,0.8
light,0.8
merely,0.8
relative,0.8
slight,0.8
slightly,0.8
