ranges,times,ratio
-8.0~-7.5,1,8.517887563884156e-05
-7.5~-7.0,1,8.517887563884156e-05
-7.0~-6.5,1,8.517887563884156e-05
-6.5~-6.0,1,8.517887563884156e-05
-6.0~-5.5,1,8.517887563884156e-05
-5.5~-5.0,0,0.0
-5.0~-4.5,0,0.0
-4.5~-4.0,0,0.0
-4.0~-3.5,1,8.517887563884156e-05
-3.5~-3.0,2,0.00017035775127768313
-3.0~-2.5,3,0.0002555366269165247
-2.5~-2.0,6,0.0005110732538330494
-2.0~-1.5,44,0.003747870528109029
-1.5~-1.0,168,0.014310051107325384
-1.0~-0.5,641,0.05459965928449744
-0.5~0.0,3431,0.29224872231686544
0.0~0.5,5442,0.4635434412265758
0.5~1.0,1688,0.14378194207836456
1.0~1.5,627,0.05340715502555366
1.5~2.0,188,0.016013628620102215
2.0~2.5,59,0.005025553662691653
2.5~3.0,13,0.0011073253833049405
3.0~3.5,4,0.00034071550255536625
3.5~4.0,1,8.517887563884156e-05
4.0~4.5,0,0.0
4.5~5.0,0,0.0
5.0~5.5,0,0.0
5.5~6.0,0,0.0
6.0~6.5,0,0.0
6.5~7.0,0,0.0
7.0~7.5,0,0.0
7.5~8.0,0,0.0
